order_id,sku_id,category,supplier,warehouse,transport_mode,order_qty,fulfilled_qty,unit_cost,order_date,delivery_date,lead_time_days,on_time_delivery,fill_rate,order_value
ORD10062,SKU1007,Haircare,Vendor_01,WH_Bangalore,Road,415,363,32.69,2023-08-15,2023-08-24,6,0,0.877,13566.35
ORD10063,SKU1010,Cosmetics,Vendor_06,WH_Bangalore,Sea,307,236,25.41,2024-06-27,2024-07-16,17,0,0.77,7800.87
ORD10064,SKU1005,Haircare,Vendor_08,WH_Mumbai,Air,369,239,75.43,2023-09-15,2023-09-19,3,1,0.648,27833.67
ORD10065,SKU1005,Haircare,Vendor_03,WH_Bangalore,Rail,71,63,75.43,2024-05-10,2024-05-19,7,0,0.89,5355.53
ORD10066,SKU1001,Skincare,Vendor_04,WH_Mumbai,Air,436,314,35.43,2024-01-05,2024-01-08,2,1,0.721,15447.48
ORD10067,SKU1004,Skincare,Vendor_01,WH_Delhi,Air,33,21,18.49,2023-05-10,2023-05-19,6,0,0.641,610.17
ORD10068,SKU1009,Haircare,Vendor_08,WH_Bangalore,Sea,155,152,86.19,2023-12-15,2024-01-01,16,1,0.986,13359.45
ORD10069,SKU1013,Cosmetics,Vendor_02,WH_Delhi,Road,254,211,89.73,2024-05-18,2024-05-25,7,1,0.831,22791.42
ORD10070,SKU1002,Skincare,Vendor_05,WH_Mumbai,Road,86,72,83.79,2023-05-02,2023-05-10,5,0,0.843,7205.94
ORD10071,SKU1012,Cosmetics,Vendor_07,WH_Delhi,Sea,277,199,102.92,2023-11-01,2023-11-20,16,0,0.722,28508.84
ORD10072,SKU1009,Haircare,Vendor_02,WH_Mumbai,Rail,388,335,86.19,2023-08-05,2023-08-18,11,0,0.864,33441.72
ORD10073,SKU1003,Skincare,Vendor_02,WH_Chennai,Rail,98,85,74.14,2024-02-23,2024-03-03,6,0,0.876,7265.72
ORD10074,SKU1004,Skincare,Vendor_04,WH_Mumbai,Air,26,16,18.49,2023-10-17,2023-10-26,6,0,0.628,480.74
ORD10075,SKU1014,Cosmetics,Vendor_04,WH_Bangalore,Sea,145,124,116.99,2024-07-11,2024-07-25,13,1,0.859,16963.55
ORD10076,SKU1013,Cosmetics,Vendor_02,WH_Chennai,Road,82,63,89.73,2023-11-11,2023-11-18,5,0,0.776,7357.86
ORD10077,SKU1011,Cosmetics,Vendor_07,WH_Delhi,Air,165,127,18.39,2024-07-06,2024-07-14,5,0,0.775,3034.35
ORD10078,SKU1014,Cosmetics,Vendor_06,WH_Delhi,Air,231,227,116.99,2023-04-04,2023-04-06,1,1,0.985,27024.69
ORD10079,SKU1012,Cosmetics,Vendor_05,WH_Mumbai,Road,354,341,102.92,2024-04-26,2024-05-04,5,0,0.966,36433.68
ORD10080,SKU1009,Haircare,Vendor_08,WH_Delhi,Road,233,170,86.19,2023-12-23,2024-01-02,7,0,0.733,20082.27
ORD10081,SKU1013,Cosmetics,Vendor_06,WH_Chennai,Sea,92,79,89.73,2024-05-22,2024-06-11,18,0,0.865,8255.16
ORD10082,SKU1013,Cosmetics,Vendor_01,WH_Chennai,Sea,399,290,89.73,2023-11-19,2023-12-04,13,0,0.729,35802.27
ORD10083,SKU1013,Cosmetics,Vendor_01,WH_Chennai,Sea,273,220,89.73,2023-02-25,2023-03-14,16,1,0.807,24496.29
ORD10084,SKU1010,Cosmetics,Vendor_01,WH_Chennai,Rail,236,229,25.41,2024-07-16,2024-07-25,8,1,0.971,5996.76
ORD10085,SKU1014,Cosmetics,Vendor_08,WH_Bangalore,Road,367,324,116.99,2024-10-07,2024-10-12,4,1,0.884,42935.33
ORD10086,SKU1008,Haircare,Vendor_07,WH_Mumbai,Road,17,16,98.66,2023-04-27,2023-05-05,5,0,0.979,1677.22
ORD10087,SKU1007,Haircare,Vendor_05,WH_Mumbai,Air,487,339,32.69,2024-05-09,2024-05-16,4,0,0.697,15920.03
ORD10088,SKU1006,Haircare,Vendor_03,WH_Bangalore,Road,107,104,88.19,2024-02-29,2024-03-08,6,0,0.974,9436.33
ORD10089,SKU1013,Cosmetics,Vendor_05,WH_Chennai,Air,11,10,89.73,2024-08-16,2024-08-24,5,0,0.946,987.03
ORD10090,SKU1008,Haircare,Vendor_06,WH_Bangalore,Air,257,200,98.66,2024-07-10,2024-07-18,5,0,0.782,25355.62
ORD10091,SKU1013,Cosmetics,Vendor_04,WH_Chennai,Sea,106,77,89.73,2024-02-25,2024-03-10,14,1,0.727,9511.38
ORD10092,SKU1011,Cosmetics,Vendor_07,WH_Delhi,Sea,477,380,18.39,2024-10-29,2024-11-17,18,1,0.798,8772.03
ORD10093,SKU1002,Skincare,Vendor_06,WH_Mumbai,Road,267,161,83.79,2023-04-13,2023-04-23,7,0,0.606,22371.93
ORD10094,SKU1006,Haircare,Vendor_03,WH_Chennai,Road,455,386,88.19,2023-09-29,2023-10-08,7,0,0.849,40126.45
ORD10095,SKU1010,Cosmetics,Vendor_06,WH_Delhi,Sea,51,48,25.41,2024-10-03,2024-10-21,15,0,0.949,1295.91
ORD10096,SKU1009,Haircare,Vendor_04,WH_Delhi,Air,45,44,86.19,2023-04-03,2023-04-08,2,0,0.991,3878.55
ORD10097,SKU1007,Haircare,Vendor_05,WH_Bangalore,Road,95,68,32.69,2023-11-29,2023-12-03,4,1,0.717,3105.55
ORD10098,SKU1006,Haircare,Vendor_04,WH_Delhi,Sea,84,56,88.19,2024-11-29,2024-12-17,17,1,0.668,7407.96
ORD10099,SKU1009,Haircare,Vendor_07,WH_Bangalore,Rail,455,315,86.19,2024-08-20,2024-08-30,9,1,0.693,39216.45
ORD10100,SKU1007,Haircare,Vendor_01,WH_Bangalore,Sea,140,88,32.69,2024-11-24,2024-12-10,15,1,0.63,4576.6
ORD10101,SKU1009,Haircare,Vendor_07,WH_Chennai,Air,163,163,86.19,2023-11-06,2023-11-11,4,1,1.0,14048.97
ORD10102,SKU1001,Skincare,Vendor_07,WH_Chennai,Air,131,79,35.43,2023-10-30,2023-11-06,5,0,0.609,4641.33
ORD10103,SKU1004,Skincare,Vendor_01,WH_Mumbai,Sea,14,9,18.49,2023-08-24,2023-09-10,15,0,0.688,258.86
ORD10104,SKU1009,Haircare,Vendor_03,WH_Chennai,Road,138,99,86.19,2024-10-23,2024-11-01,9,1,0.724,11894.22
ORD10105,SKU1000,Skincare,Vendor_06,WH_Mumbai,Rail,306,275,79.62,2023-10-30,2023-11-07,6,0,0.899,24363.72
ORD10106,SKU1003,Skincare,Vendor_06,WH_Bangalore,Air,77,75,74.14,2023-09-21,2023-09-26,2,0,0.987,5708.78
ORD10107,SKU1011,Cosmetics,Vendor_06,WH_Mumbai,Road,455,410,18.39,2023-03-19,2023-03-27,7,1,0.902,8367.45
ORD10108,SKU1013,Cosmetics,Vendor_07,WH_Delhi,Air,356,251,89.73,2024-02-09,2024-02-10,1,1,0.706,31943.88
ORD10109,SKU1007,Haircare,Vendor_05,WH_Chennai,Sea,198,172,32.69,2024-01-16,2024-02-03,18,1,0.87,6472.62
ORD10110,SKU1000,Skincare,Vendor_06,WH_Bangalore,Rail,327,315,79.62,2023-03-06,2023-03-20,11,0,0.964,26035.74
ORD10111,SKU1010,Cosmetics,Vendor_02,WH_Delhi,Rail,219,218,25.41,2023-02-08,2023-02-16,6,0,0.998,5564.79
ORD10112,SKU1001,Skincare,Vendor_03,WH_Mumbai,Sea,130,108,35.43,2024-01-15,2024-02-03,16,0,0.835,4605.9
ORD10113,SKU1014,Cosmetics,Vendor_02,WH_Bangalore,Sea,222,136,116.99,2024-02-22,2024-03-12,17,0,0.613,25971.78
ORD10114,SKU1003,Skincare,Vendor_08,WH_Bangalore,Rail,237,193,74.14,2023-04-12,2023-04-22,8,0,0.818,17571.18
ORD10115,SKU1000,Skincare,Vendor_05,WH_Delhi,Rail,213,184,79.62,2024-04-10,2024-04-16,6,1,0.865,16959.06
ORD10116,SKU1000,Skincare,Vendor_06,WH_Mumbai,Rail,412,258,79.62,2024-08-01,2024-08-09,7,1,0.627,32803.44
ORD10117,SKU1009,Haircare,Vendor_04,WH_Mumbai,Air,120,85,86.19,2024-09-02,2024-09-04,2,1,0.711,10342.8
ORD10118,SKU1002,Skincare,Vendor_05,WH_Bangalore,Rail,286,186,83.79,2024-11-07,2024-11-13,6,1,0.653,23963.94
ORD10119,SKU1012,Cosmetics,Vendor_04,WH_Chennai,Air,413,256,102.92,2023-06-28,2023-07-01,1,0,0.621,42505.96
ORD10120,SKU1008,Haircare,Vendor_02,WH_Mumbai,Sea,68,53,98.66,2024-01-06,2024-01-22,16,1,0.781,6708.88
ORD10121,SKU1009,Haircare,Vendor_05,WH_Chennai,Sea,32,31,86.19,2023-02-01,2023-02-19,18,1,0.999,2758.08
ORD10122,SKU1006,Haircare,Vendor_02,WH_Bangalore,Sea,361,346,88.19,2024-03-30,2024-04-17,18,1,0.96,31836.59
ORD10123,SKU1009,Haircare,Vendor_02,WH_Bangalore,Rail,85,63,86.19,2024-10-01,2024-10-11,8,0,0.752,7326.15
ORD10124,SKU1007,Haircare,Vendor_07,WH_Mumbai,Road,268,206,32.69,2023-04-28,2023-05-08,9,1,0.772,8760.92
ORD10125,SKU1006,Haircare,Vendor_08,WH_Bangalore,Sea,183,141,88.19,2023-04-08,2023-04-26,16,0,0.771,16138.77
ORD10126,SKU1005,Haircare,Vendor_03,WH_Delhi,Sea,498,317,75.43,2023-04-04,2023-04-17,13,1,0.637,37564.14
ORD10127,SKU1011,Cosmetics,Vendor_06,WH_Chennai,Rail,388,336,18.39,2023-03-03,2023-03-15,10,0,0.868,7135.32
ORD10128,SKU1005,Haircare,Vendor_07,WH_Mumbai,Road,457,338,75.43,2024-09-06,2024-09-14,6,0,0.741,34471.51
ORD10129,SKU1002,Skincare,Vendor_08,WH_Bangalore,Rail,346,223,83.79,2023-12-25,2024-01-02,6,0,0.646,28991.34
ORD10130,SKU1009,Haircare,Vendor_07,WH_Bangalore,Road,125,76,86.19,2024-11-04,2024-11-14,8,0,0.612,10773.75
ORD10131,SKU1011,Cosmetics,Vendor_05,WH_Chennai,Air,400,379,18.39,2023-01-07,2023-01-11,3,1,0.948,7356.0
ORD10132,SKU1001,Skincare,Vendor_01,WH_Chennai,Road,82,61,35.43,2024-06-27,2024-07-07,9,1,0.75,2905.26
ORD10133,SKU1005,Haircare,Vendor_06,WH_Mumbai,Air,90,85,75.43,2023-11-29,2023-12-05,6,1,0.953,6788.7
ORD10134,SKU1002,Skincare,Vendor_01,WH_Chennai,Road,396,314,83.79,2024-03-29,2024-04-07,6,0,0.794,33180.84
ORD10135,SKU1006,Haircare,Vendor_04,WH_Chennai,Road,149,106,88.19,2024-03-16,2024-03-22,6,1,0.713,13140.31
ORD10136,SKU1008,Haircare,Vendor_05,WH_Bangalore,Road,351,211,98.66,2024-02-09,2024-02-14,5,1,0.603,34629.66
ORD10137,SKU1003,Skincare,Vendor_03,WH_Chennai,Air,402,242,74.14,2023-12-02,2023-12-05,3,1,0.603,29804.28
ORD10138,SKU1002,Skincare,Vendor_07,WH_Delhi,Rail,76,47,83.79,2024-07-26,2024-08-07,10,0,0.629,6368.04
ORD10139,SKU1006,Haircare,Vendor_08,WH_Chennai,Road,19,15,88.19,2024-08-12,2024-08-21,6,0,0.829,1675.61
ORD10140,SKU1004,Skincare,Vendor_07,WH_Bangalore,Road,68,63,18.49,2023-06-25,2023-07-04,6,0,0.933,1257.32
ORD10141,SKU1001,Skincare,Vendor_02,WH_Chennai,Rail,233,188,35.43,2024-08-26,2024-09-07,9,0,0.81,8255.19
ORD10142,SKU1013,Cosmetics,Vendor_06,WH_Delhi,Rail,168,135,89.73,2023-06-22,2023-06-30,8,1,0.804,15074.64
ORD10143,SKU1008,Haircare,Vendor_04,WH_Mumbai,Air,271,188,98.66,2024-10-22,2024-10-26,3,1,0.695,26736.86
ORD10144,SKU1004,Skincare,Vendor_03,WH_Chennai,Rail,111,108,18.49,2023-03-19,2023-03-31,11,1,0.981,2052.39
ORD10145,SKU1007,Haircare,Vendor_08,WH_Chennai,Air,396,307,32.69,2023-11-20,2023-11-27,6,1,0.776,12945.24
ORD10146,SKU1007,Haircare,Vendor_05,WH_Bangalore,Air,333,267,32.69,2023-02-27,2023-03-06,5,0,0.803,10885.77
ORD10147,SKU1007,Haircare,Vendor_01,WH_Delhi,Road,241,206,32.69,2023-10-21,2023-10-27,6,1,0.858,7878.29
ORD10148,SKU1009,Haircare,Vendor_07,WH_Mumbai,Sea,314,244,86.19,2024-07-21,2024-08-07,17,1,0.78,27063.66
ORD10149,SKU1005,Haircare,Vendor_08,WH_Bangalore,Rail,319,294,75.43,2024-04-06,2024-04-12,6,1,0.924,24062.17
ORD10150,SKU1011,Cosmetics,Vendor_03,WH_Mumbai,Road,53,52,18.39,2024-12-25,2025-01-02,5,0,0.996,974.67
ORD10151,SKU1005,Haircare,Vendor_05,WH_Bangalore,Sea,200,183,75.43,2023-12-13,2023-12-29,16,1,0.916,15086.0
ORD10152,SKU1001,Skincare,Vendor_02,WH_Mumbai,Sea,178,130,35.43,2023-09-16,2023-10-02,15,1,0.733,6306.54
ORD10153,SKU1014,Cosmetics,Vendor_05,WH_Chennai,Sea,189,136,116.99,2024-09-01,2024-09-15,14,1,0.724,22111.11
ORD10154,SKU1010,Cosmetics,Vendor_06,WH_Chennai,Rail,415,356,25.41,2024-12-20,2024-12-31,11,1,0.858,10545.15
ORD10155,SKU1008,Haircare,Vendor_01,WH_Chennai,Air,195,143,98.66,2023-07-04,2023-07-08,3,1,0.737,19238.7
ORD10156,SKU1003,Skincare,Vendor_03,WH_Delhi,Rail,125,100,74.14,2023-10-30,2023-11-05,6,1,0.803,9267.5
ORD10157,SKU1010,Cosmetics,Vendor_03,WH_Mumbai,Sea,182,169,25.41,2023-06-16,2023-07-01,14,1,0.933,4624.62
ORD10158,SKU1011,Cosmetics,Vendor_01,WH_Bangalore,Sea,234,231,18.39,2024-11-23,2024-12-09,15,1,0.988,4303.26
ORD10159,SKU1012,Cosmetics,Vendor_08,WH_Chennai,Rail,393,387,102.92,2023-09-02,2023-09-14,10,0,0.986,40447.56
ORD10160,SKU1014,Cosmetics,Vendor_04,WH_Bangalore,Air,437,343,116.99,2024-08-07,2024-08-16,6,0,0.785,51124.63
ORD10161,SKU1012,Cosmetics,Vendor_07,WH_Delhi,Rail,205,194,102.92,2024-09-11,2024-09-19,7,1,0.949,21098.6
ORD10162,SKU1010,Cosmetics,Vendor_06,WH_Mumbai,Road,256,182,25.41,2024-06-12,2024-06-21,9,1,0.714,6504.96
ORD10163,SKU1004,Skincare,Vendor_03,WH_Delhi,Sea,240,228,18.49,2023-08-16,2023-09-01,13,0,0.954,4437.6
ORD10164,SKU1006,Haircare,Vendor_07,WH_Delhi,Air,37,27,88.19,2024-01-31,2024-02-02,2,1,0.75,3263.03
ORD10165,SKU1005,Haircare,Vendor_02,WH_Chennai,Air,486,347,75.43,2023-05-21,2023-05-23,2,1,0.715,36658.98
ORD10166,SKU1011,Cosmetics,Vendor_03,WH_Delhi,Sea,435,418,18.39,2024-09-22,2024-10-08,16,1,0.962,7999.65
ORD10167,SKU1004,Skincare,Vendor_03,WH_Delhi,Sea,120,86,18.49,2023-10-23,2023-11-06,13,1,0.72,2218.8
ORD10168,SKU1003,Skincare,Vendor_08,WH_Mumbai,Road,224,191,74.14,2024-05-26,2024-05-30,4,1,0.853,16607.36
ORD10169,SKU1011,Cosmetics,Vendor_05,WH_Chennai,Sea,83,57,18.39,2024-09-21,2024-10-06,13,0,0.696,1526.37
ORD10170,SKU1002,Skincare,Vendor_02,WH_Chennai,Air,350,264,83.79,2024-06-22,2024-06-23,1,1,0.756,29326.5
ORD10171,SKU1000,Skincare,Vendor_07,WH_Bangalore,Air,335,306,79.62,2023-01-17,2023-01-22,3,0,0.915,26672.7
ORD10172,SKU1003,Skincare,Vendor_02,WH_Mumbai,Air,385,314,74.14,2023-02-15,2023-02-19,2,0,0.818,28543.9
ORD10173,SKU1013,Cosmetics,Vendor_08,WH_Chennai,Sea,408,255,89.73,2023-07-06,2023-07-25,18,1,0.625,36609.84
ORD10174,SKU1000,Skincare,Vendor_04,WH_Chennai,Road,160,155,79.62,2023-02-12,2023-02-19,5,0,0.973,12739.2
ORD10175,SKU1013,Cosmetics,Vendor_08,WH_Delhi,Air,288,205,89.73,2024-10-24,2024-10-26,1,1,0.714,25842.24
ORD10176,SKU1013,Cosmetics,Vendor_06,WH_Chennai,Air,345,329,89.73,2024-01-12,2024-01-16,1,0,0.956,30956.85
ORD10177,SKU1014,Cosmetics,Vendor_07,WH_Bangalore,Air,499,372,116.99,2024-05-23,2024-05-28,2,0,0.747,58378.01
ORD10178,SKU1012,Cosmetics,Vendor_07,WH_Bangalore,Road,52,42,102.92,2024-09-08,2024-09-16,7,1,0.818,5351.84
ORD10179,SKU1001,Skincare,Vendor_06,WH_Chennai,Air,50,33,35.43,2024-04-01,2024-04-07,3,0,0.667,1771.5
ORD10180,SKU1005,Haircare,Vendor_01,WH_Delhi,Air,238,203,75.43,2024-03-21,2024-03-28,5,0,0.856,17952.34
ORD10181,SKU1001,Skincare,Vendor_07,WH_Mumbai,Air,353,346,35.43,2024-11-26,2024-12-02,5,1,0.981,12506.79
ORD10182,SKU1013,Cosmetics,Vendor_08,WH_Bangalore,Road,321,292,89.73,2023-03-10,2023-03-16,5,1,0.911,28803.33
ORD10183,SKU1005,Haircare,Vendor_01,WH_Delhi,Rail,206,154,75.43,2024-04-05,2024-04-18,11,0,0.749,15538.58
ORD10184,SKU1009,Haircare,Vendor_06,WH_Delhi,Sea,80,56,86.19,2024-10-27,2024-11-13,15,0,0.7,6895.2
ORD10185,SKU1000,Skincare,Vendor_03,WH_Bangalore,Sea,386,272,79.62,2024-02-01,2024-02-18,17,1,0.705,30733.32
ORD10186,SKU1011,Cosmetics,Vendor_04,WH_Delhi,Air,238,154,18.39,2024-05-17,2024-05-24,6,1,0.649,4376.82
ORD10187,SKU1007,Haircare,Vendor_08,WH_Bangalore,Road,98,86,32.69,2023-11-24,2023-12-05,9,0,0.884,3203.62
ORD10188,SKU1014,Cosmetics,Vendor_03,WH_Mumbai,Rail,163,105,116.99,2024-06-04,2024-06-13,8,1,0.649,19069.37
ORD10189,SKU1012,Cosmetics,Vendor_04,WH_Mumbai,Sea,81,63,102.92,2024-01-05,2024-01-20,13,0,0.787,8336.52
ORD10190,SKU1009,Haircare,Vendor_02,WH_Chennai,Road,462,374,86.19,2024-02-12,2024-02-21,6,0,0.81,39819.78
ORD10191,SKU1013,Cosmetics,Vendor_02,WH_Bangalore,Rail,304,237,89.73,2024-10-19,2024-10-27,8,1,0.78,27277.92
ORD10192,SKU1002,Skincare,Vendor_03,WH_Mumbai,Rail,459,428,83.79,2024-05-29,2024-06-07,9,1,0.933,38459.61
